session_id,phase,iteration,elapsed_sec,x_px,y_px,dec_disp_px,ra_disp_px,image_width,image_height
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.569549,672.996,329.886,2.063,0.000,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.603972,673.021,329.544,1.962,0.328,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.636014,672.912,329.737,2.111,0.165,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.669387,672.935,329.640,2.068,0.253,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.704002,673.093,329.418,1.863,0.434,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.733723,673.098,329.417,1.858,0.434,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.768995,673.073,329.450,1.890,0.408,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.802838,673.150,329.440,1.812,0.399,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.836558,673.077,329.394,1.873,0.462,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.869517,672.972,329.236,1.940,0.639,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.903638,673.176,329.434,1.786,0.400,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.932260,673.105,329.679,1.911,0.177,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.968374,672.991,329.576,1.998,0.303,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.001927,673.197,329.660,1.816,0.175,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.036274,673.218,329.456,1.750,0.369,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.070136,673.248,329.635,1.761,0.188,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.103043,673.157,329.493,1.817,0.346,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.134939,673.132,329.478,1.838,0.367,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.168862,673.147,329.407,1.808,0.432,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.203124,673.102,329.450,1.862,0.401,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.236172,673.015,329.148,1.878,0.715,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.269975,673.019,329.228,1.893,0.636,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.303157,672.986,329.056,1.885,0.811,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.334932,672.947,328.936,1.897,0.937,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.369212,673.032,329.117,1.855,0.741,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.402613,673.089,328.997,1.772,0.845,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.435437,673.044,328.992,1.815,0.860,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.469862,672.922,328.799,1.889,1.076,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.502866,672.950,328.808,1.865,1.060,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.535892,672.968,329.285,1.955,0.592,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.570166,672.977,329.115,1.908,0.756,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.603127,673.024,329.035,1.844,0.823,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.634808,673.026,329.291,1.900,0.573,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.670153,673.054,329.595,1.941,0.270,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.703638,673.072,329.510,1.905,0.349,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.736088,673.141,329.400,1.812,0.441,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.770200,673.016,329.510,1.959,0.362,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.803408,673.002,329.511,1.973,0.365,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.836368,672.931,329.693,2.083,0.203,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.869522,672.993,329.850,2.058,0.036,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.903608,672.899,329.762,2.130,0.143,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.935504,673.005,329.930,2.065,-0.045,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,21.969908,673.212,329.892,1.855,-0.055,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.003355,673.170,330.198,1.965,-0.343,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.035616,673.114,329.990,1.972,-0.128,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.068806,673.302,329.683,1.720,0.128,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.102798,673.169,329.773,1.869,0.071,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.134470,673.156,330.005,1.935,-0.152,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.169240,673.181,329.890,1.884,-0.045,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.202928,673.137,329.944,1.939,-0.088,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.236137,672.998,329.798,2.042,0.085,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.270170,673.087,329.994,2.000,-0.126,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.303420,673.111,330.116,2.003,-0.249,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.336736,673.136,330.041,1.962,-0.183,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.370265,673.124,329.843,1.929,0.013,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.402924,672.988,329.767,2.045,0.118,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.435239,673.045,329.892,2.017,-0.016,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.469061,672.997,329.883,2.062,0.003,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.503137,673.066,329.994,2.020,-0.121,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.532864,673.137,329.866,1.922,-0.012,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.567085,673.050,329.946,2.024,-0.070,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.602573,673.072,329.866,1.985,0.003,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.635830,673.183,329.710,1.841,0.129,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.668501,673.121,329.741,1.909,0.113,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.702988,673.030,329.641,1.975,0.232,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.735202,672.990,329.933,2.080,-0.044,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.769211,673.016,329.729,2.009,0.149,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.803097,673.131,329.994,1.957,-0.136,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.835243,673.265,329.777,1.776,0.046,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.869394,673.208,329.831,1.844,0.006,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.903138,673.062,329.932,2.010,-0.060,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.935595,673.058,329.844,1.994,0.027,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,22.969673,673.052,329.916,2.016,-0.042,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.002888,673.066,329.953,2.011,-0.081,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.035899,673.053,329.942,2.021,-0.067,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.069228,673.024,329.809,2.019,0.069,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.103683,673.006,329.696,2.010,0.183,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.133618,673.117,329.744,1.914,0.111,1280,720
